Product Title,Price (IRR),Rating,Seller
گوشی موبایل اپل مدل iPhone 16 CH دو سیم کارت ظرفیت 128 گیگابایت و رم 8 گیگابایت,809828000,88.47222222222223,دیجی‌کالا
گوشی موبایل سامسونگ مدل Galaxy A55 دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,273990000,90.86285195277021,سی تلکام
گوشی موبایل شیائومی مدل Redmi A3 دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,70990000,84.18763591177384,اسمارت تکنولوژی قشم
گوشی موبایل شیائومی مدل Poco M5s دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - گلوبال,102600000,88.42132239876986,پایاگستر شهر
گوشی موبایل وکال مدل V0 Plus دو سیم کارت ظرفیت 64 گیگابایت و رم 3 گیگابایت,55990000,86.5474552957359,اسمارت تکنولوژی قشم
گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,533990000,90.49558479005226,سی تلکام
گوشی موبایل سامسونگ مدل Galaxy S24 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام ,832139000,90.87296809151114,دیجی‌کالا
گوشی موبایل ریلمی مدل Note 50 دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,67794000,84.95412844036696,دیجی‌کالا
گوشی موبایل سامسونگ مدل Galaxy A25 دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,197000000,87.52486187845304,سی تلکام
گوشی موبایل سامسونگ مدل Galaxy A05s دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,86393000,86.95863746958638,دیجی‌کالا
گوشی موبایل رنسو مدل Nep N7 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,49244000,81.88976377952756,دیجی‌کالا
گوشی موبایل شیائومی مدل Redmi Note 13 4G دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت,146800000,89.36201537706526,پردازشگر همراه
گوشی موبایل اپل مدل iPhone 14 CH دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت,573900000,86.66666666666669,دیجی‌کالا
گوشی موبایل سامسونگ مدل Galaxy A35 دو سیم کارت ظرفیت 256 گیگابایت رم 8 گیگابایت - ویتنام,215000000,89.03189066059225,دیجی‌کالا
گوشی موبایل سامسونگ مدل Galaxy A05s دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,94066000,86.69131238447319,دیجی‌کالا
گوشی موبایل ریلمی مدل Note 50 دو سیم کارت ظرفیت 64 گیگابایت و رم 3 گیگابایت,61294000,87.07070707070707,دیجی‌کالا
گوشی موبایل شیائومی مدل Poco M6 Pro دو سیم کارت ظرفیت 512 گیگابایت و رم 12 گیگابایت,193000000,90.03061849357012,اسمارت تکنولوژی قشم
گوشی موبایل سامسونگ مدل Galaxy A05s ظرفیت 128 گیگابایت و رم 6 گیگابایت,102900000,87.22689075630254,هماهنگ شاپ
گوشی موبایل شیائومی مدل Redmi 12 5G دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - گلوبال - نسخه به همراه شارژر,116900000,52,نیک همراه ویرا
گوشی موبایل وکال مدل V1 Plus دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,67990000,83.61386138613861,اسمارت تکنولوژی قشم
گوشی موبایل جیونی مدل S11 lite دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,43990000,74.68354430379746,ایرانیان قایم همراه کاوش تیم
گوشی موبایل شیائومی مدل Poco C65 دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت,95000000,88.31460674157302,سی تلکام
گوشی موبایل ناتینگ مدل Phone 2a دو سیم کارت ظرفیت 256 گیگابایت رم 12 گیگابایت,253990000,93.91791044776119,سی تلکام
